China,India,USA,Germany,Netherlands,Iran,Hong Kong,Taiwan,Sri Lanka,Czech Republic,Malaysia,Japan,Serbia,Spain,Brazil,Nigeria,South Africa,Tunisia,Turkey,Greece,Italy,France,Iraq,South Korea,Pakistan,Israel,Peru,Colombia,Viet Nam,Australia,Sweden,Belgium,Nepal,Philippines,Finland,Thailand
9,649,583,0,828,3362,1023,985,1024,1009,4943,1023,5263,0,1022,5046,1014,7464,945,1014,8285,1025,12618,1022,1022,1096,844,8,5081,6886,1022,5535,739,8808,1022,9571
1014,375,447,1022,196,3385,0,37,13,2031,5098,0,5220,1022,0,5054,9,7468,76,9,8261,20,12619,0,0,91,177,1014,5070,6887,0,5548,281,8781,13,9580
5045,5051,5051,5046,5054,3357,5054,5071,5056,5048,5080,5054,5066,5046,5054,0,5140,7547,5158,5140,8368,5144,12705,5140,5140,5158,5150,5131,5091,6942,5140,5480,5167,8891,5141,9641
1023,384,439,1014,188,3385,9,46,22,2023,5091,9,5220,1014,9,5140,0,7465,84,0,8269,11,12618,8,8,82,168,1022,5078,6886,8,5548,289,8780,21,9579
7463,7478,7476,7462,7483,1925,7465,7470,7464,7450,7499,7471,7614,7462,7468,7547,7465,0,3187,3201,2815,3207,5809,3200,3200,3197,3217,3205,3230,2392,3206,2665,3212,2998,3191,3344
937,298,370,945,119,3369,76,38,89,1954,5044,76,5198,945,76,5158,84,3187,0,86,8253,97,12620,77,77,168,101,938,5064,6896,77,5517,205,8782,77,9573
1023,384,439,1014,188,3385,9,46,22,2023,5091,9,5220,1014,9,5140,0,3204,86,0,8269,11,12618,8,8,82,168,1022,5078,6886,8,5548,289,8780,21,9579
8286,8269,8276,8285,8270,1102,8261,8260,8258,8279,8319,8261,8508,8285,8261,8368,8269,2813,8253,8269,0,3289,4668,3280,3280,3293,3288,3305,2970,2058,3280,2673,3287,782,3280,2546
1034,395,450,1025,199,3391,20,57,33,2034,5089,20,5231,1025,20,5144,11,3204,97,11,3289,0,12615,16,16,90,176,1030,5067,6889,16,5554,297,8777,29,9576
12619,12620,12618,12618,12620,4096,12619,12618,12620,12628,12641,12619,12716,12618,12619,12705,12618,5809,12620,12618,4668,12615,0,4680,4680,4680,4680,4680,4680,2490,4680,3730,4680,1465,4680,1130
1014,375,447,1022,196,3385,0,37,13,2031,5098,0,5220,1022,0,5140,8,3206,77,8,3280,16,4680,0,0,91,177,1014,5070,6887,0,5548,281,8781,13,9580
1014,375,447,1022,196,3385,0,37,13,2031,5098,0,5220,1022,0,5140,8,3200,77,8,3280,16,4680,0,0,91,177,1014,5070,6887,0,5548,281,8781,13,9580
1105,466,521,1096,270,3391,91,128,104,2105,5081,91,5249,1096,91,5158,82,3197,168,82,3293,90,4680,91,91,0,244,1098,5108,6898,84,5548,365,8781,97,9573
853,214,269,844,18,3369,177,139,190,1853,5039,177,5227,844,177,5150,168,3211,101,168,3288,176,4680,177,177,244,0,854,5093,6890,178,5518,121,8782,178,9573
0,640,591,8,836,3362,1014,976,1015,1017,4943,1014,5265,8,1014,5131,1022,3200,938,1022,3305,1030,4680,1014,1014,1098,854,0,5087,6887,1014,5527,731,8807,1014,9572
5087,5071,5133,5081,5076,3185,5070,5080,5072,5131,5177,5070,5310,5081,5070,5091,5078,3230,5064,5078,2970,5067,4680,5070,5070,5108,5093,5087,0,7127,5211,5793,5204,8759,5212,9768
6887,6883,6863,6886,6872,1986,6887,6886,6888,6959,6925,6887,7051,6886,6887,6942,6886,2392,6896,6886,2058,6889,2490,6887,6887,6898,6890,6887,7127,0,3218,1987,3205,3661,3218,4119
1014,375,447,1022,196,3385,0,37,13,2031,5098,0,5220,1022,0,5140,8,3200,77,8,3280,16,4680,0,0,84,178,1014,5211,3218,0,5548,281,8781,13,9580
5527,5539,5556,5535,5510,2621,5548,5515,5550,5528,5599,5548,5623,5535,5548,5480,5548,2665,5517,5548,2673,5554,3730,5548,5548,5548,5518,5527,5793,1987,5548,0,3984,6606,4033,7193
731,92,164,739,103,3361,281,243,294,1748,5066,281,5247,739,281,5167,289,3212,205,289,3287,297,4680,281,281,365,121,731,5204,3205,281,3984,0,8811,283,9574
8807,8803,8788,8808,8782,742,8781,8780,8783,8808,8832,8781,8989,8808,8781,8891,8780,2998,8782,8780,782,8777,1465,8781,8781,8781,8782,8807,8759,3661,8781,6606,8811,0,3378,2116
1014,375,447,1022,196,3376,13,37,26,2031,5089,13,5233,1022,13,5141,21,3191,77,21,3280,29,4680,13,13,97,178,1014,5212,3218,13,4033,283,3378,0,9579
9572,9573,9571,9571,9573,2130,9580,9571,9581,9588,9605,9580,9721,9571,9580,9641,9579,3344,9573,9579,2546,9576,1130,9580,9580,9573,9573,9572,9768,4119,9580,7193,9574,2116,9579,0
